Image,Caption,Rights
urn:cite:hcmid:gen49bifolioimgs.gen49_63v_64r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 63 verso and 64 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 63r  and 64v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_64v_65r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 64 verso and 65 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 64r  and 65v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_65v_66r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 65 verso and 66 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 65r  and 66v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_66v_67r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 66 verso and 67 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 66r  and 67v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_67v_68r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 67 verso and 68 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 67r  and 68v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_68v_69r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 68 verso and 69 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 68r  and 69v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_69v_70r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 69 verso and 70 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 69r  and 70v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_70v_71r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 70 verso and 71 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 70r  and 71v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_71v_72r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 71 verso and 72 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 71r  and 72v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_72v_73r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 72 verso and 73 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 72r  and 73v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_73v_74r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 73 verso and 74 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 73r  and 74v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_74v_75r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 74 verso and 75 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 74r  and 75v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_75v_76r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 75 verso and 76 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 75r  and 76v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_76v_77r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 76 verso and 77 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 76r  and 77v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_77v_78r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 77 verso and 78 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 77r  and 78v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_78v_79r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 78 verso and 79 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 78r  and 79v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_79v_80r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 79 verso and 80 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 79r  and 80v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_80v_81r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 80 verso and 81 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 80r  and 81v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_81v_82r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 81 verso and 82 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 81r  and 82v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_82v_83r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 82 verso and 83 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 82r  and 83v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_83v_84r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 83 verso and 84 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 83r  and 84v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_84v_85r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 84 verso and 85 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 84r  and 85v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_85v_86r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 85 verso and 86 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 85r  and 86v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_86v_87r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 86 verso and 87 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 86r  and 87v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_87v_88r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 87 verso and 88 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 87r  and 88v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_88v_89r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 88 verso and 89 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 88r  and 89v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_89v_90r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 89 verso and 90 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 89r  and 90v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_90v_91r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 90 verso and 91 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 90r  and 91v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_91v_92r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 91 verso and 92 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 91r  and 92v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_92v_93r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 92 verso and 93 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 92r  and 93v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_93v_94r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 93 verso and 94 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 93r  and 94v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_94v_95r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 94 verso and 95 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 94r  and 95v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_95v_96r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 95 verso and 96 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 95r  and 96v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_96v_97r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 96 verso and 97 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 96r  and 97v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_97v_98r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 97 verso and 98 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 97r  and 98v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_98v_99r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 98 verso and 99 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 98r  and 99v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_99v_100r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 99 verso and 100 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 99r  and 100v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_100v_101r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 100 verso and 101 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 100r  and 101v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_101v_102r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 101 verso and 102 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 101r  and 102v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_102v_103r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 102 verso and 103 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 102r  and 103v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_103v_104r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 103 verso and 104 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 103r  and 104v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_104v_105r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 104 verso and 105 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 104r  and 105v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_105v_106r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 105 verso and 106 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 105r  and 106v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_106v_107r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 106 verso and 107 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 106r  and 107v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_107v_108r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 107 verso and 108 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 107r  and 108v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_108v_109r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 108 verso and 109 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 108r  and 109v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_109v_110r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 109 verso and 110 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 109r  and 110v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_110v_111r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 110 verso and 111 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 110r  and 111v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_111v_112r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 111 verso and 112 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 111r  and 112v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_112v_113r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 112 verso and 113 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 112r  and 113v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_113v_114r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 113 verso and 114 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 113r  and 114v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_114v_115r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 114 verso and 115 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 114r  and 115v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_115v_116r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 115 verso and 116 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 115r  and 116v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_116v_117r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 116 verso and 117 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 116r  and 117v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_117v_118r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 117 verso and 118 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 117r  and 118v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_118v_119r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 118 verso and 119 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 118r  and 119v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_119v_120r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 119 verso and 120 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 119r  and 120v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_120v_121r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 120 verso and 121 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 120r  and 121v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_121v_122r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 121 verso and 122 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 121r  and 122v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_122v_123r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 122 verso and 123 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 122r  and 123v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_123v_124r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 123 verso and 124 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 123r  and 124v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_124v_125r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 124 verso and 125 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 124r  and 125v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_125v_126r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 125 verso and 126 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 125r  and 126v (www.e-codices.unifr.ch)."
